estacion,nombre,variable,fecha,dia,valor
8416,València,tmed,2026-06-01,1,23.9
8416,València,tmed,2026-06-02,2,24.0
8416,València,tmed,2026-06-03,3,23.6
8416,València,tmed,2026-06-04,4,25.8
8416,València,tmed,2026-06-05,5,20.4
8416,València,tmed,2026-06-06,6,22.8
8416,València,tmed,2026-06-07,7,23.2
8416,València,tmed,2026-06-08,8,23.0
8416,València,tmed,2026-06-09,9,23.7
8293X,Xàtiva,tmed,2026-06-01,1,24.6
8293X,Xàtiva,tmed,2026-06-02,2,27.4
8293X,Xàtiva,tmed,2026-06-03,3,26.4
8293X,Xàtiva,tmed,2026-06-04,4,28.2
8293X,Xàtiva,tmed,2026-06-05,5,20.6
8293X,Xàtiva,tmed,2026-06-06,6,25.0
8293X,Xàtiva,tmed,2026-06-07,7,23.4
8293X,Xàtiva,tmed,2026-06-08,8,24.8
8293X,Xàtiva,tmed,2026-06-09,9,24.4
